1323 東証ETF (NEXT FUNDS)南アフリカ株式指数上場投信（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","414","420","413","419","2700","419"
"2015-01-06","419","419","413","417","1300","417"
"2015-01-07","415","415","415","415","100","415"
"2015-01-08","418","420","418","420","1300","420"
"2015-01-09","418","420","418","420","500","420"
"2015-01-13","418","420","414","420","1200","420"
"2015-01-14","421","421","415","421","500","421"
"2015-01-15","422","422","416","422","600","422"
"2015-01-16","416","423","416","421","400","421"
"2015-01-19","424","424","424","424","1400","424"
"2015-01-20","420","423","417","423","500","423"
"2015-01-21","424","424","424","424","1000","424"
"2015-01-22","423","423","423","423","700","423"
"2015-01-23","420","423","420","423","200","423"
"2015-01-26","426","426","424","425","2900","425"
"2015-01-27","420","425","419","425","1000","425"
"2015-01-28","418","424","418","424","600","424"
"2015-01-29","424","424","418","423","1100","423"
"2015-01-30","417","424","416","424","1400","424"
"2015-02-02","424","424","421","424","1600","424"
"2015-02-03","424","425","418","425","2400","425"
"2015-02-04","421","423","420","421","800","421"
"2015-02-05","421","425","421","424","1800","424"
"2015-02-06","425","425","422","422","800","422"
"2015-02-09","421","425","421","425","1200","425"
"2015-02-10","420","425","418","425","500","425"
"2015-02-12","424","424","420","420","800","420"
"2015-02-13","425","425","419","425","700","425"
"2015-02-16","421","425","421","425","1000","425"
"2015-02-17","425","425","425","425","1200","425"
"2015-02-18","420","425","420","422","2800","422"
"2015-02-19","418","422","418","422","1500","422"
"2015-02-20","423","423","419","423","400","423"
"2015-02-23","419","422","418","418","1900","418"
"2015-02-24","415","418","409","409","3500","409"
"2015-02-25","412","417","409","414","4100","414"
"2015-02-26","410","417","410","417","4400","417"
"2015-02-27","415","424","415","416","1700","416"
"2015-03-02","414","415","412","415","1000","415"
"2015-03-03","415","423","415","423","1300","423"
"2015-03-04","416","422","416","417","3100","417"
"2015-03-05","413","414","413","414","1100","414"
"2015-03-06","417","417","414","414","300","414"
"2015-03-09","415","415","413","413","2600","413"
"2015-03-10","417","417","417","417","100","417"
"2015-03-11","419","419","414","419","400","419"
"2015-03-12","419","419","419","419","300","419"
"2015-03-13","420","420","417","420","600","420"
"2015-03-16","420","420","420","420","900","420"
"2015-03-17","415","415","415","415","100","415"
"2015-03-18","417","417","415","415","300","415"
"2015-03-19","418","418","418","418","100","418"
"2015-03-20","422","422","422","422","2400","422"
"2015-03-23","418","418","417","417","300","417"
"2015-03-24","417","417","417","417","100","417"
"2015-03-25","417","417","415","415","400","415"
"2015-03-26","416","416","416","416","200","416"
"2015-03-27","415","422","410","410","2800","410"
"2015-03-30","418","418","413","413","700","413"
"2015-03-31","418","418","408","408","1900","408"
"2015-04-02","412","412","412","412","200","412"
"2015-04-03","414","414","406","414","2300","414"
"2015-04-06","410","415","410","410","3000","410"
"2015-04-07","414","414","408","408","800","408"
"2015-04-08","405","410","405","408","3400","408"
"2015-04-09","406","406","406","406","300","406"
"2015-04-10","408","416","408","416","1100","416"
"2015-04-13","416","416","416","416","400","416"
"2015-04-14","415","420","410","419","4400","419"
"2015-04-15","413","413","413","413","200","413"
"2015-04-16","418","420","418","420","2000","420"
"2015-04-17","418","418","417","417","400","417"
"2015-04-20","421","421","416","416","700","416"
"2015-04-21","414","414","414","414","500","414"
"2015-04-23","414","414","410","410","1700","410"
"2015-04-24","414","415","410","415","800","415"
"2015-04-27","415","417","415","417","1400","417"
"2015-04-28","418","418","415","415","1300","415"
"2015-04-30","410","416","410","416","1200","416"
"2015-05-01","417","417","410","410","700","410"
"2015-05-07","410","415","410","415","500","415"
"2015-05-08","413","413","412","412","700","412"
"2015-05-11","412","412","412","412","200","412"
"2015-05-12","418","418","409","410","3600","410"
"2015-05-13","414","414","404","406","3700","406"
"2015-05-14","407","407","407","407","200","407"
"2015-05-15","409","410","409","410","1700","410"
"2015-05-18","414","414","407","412","2200","412"
"2015-05-19","412","412","412","412","100","412"
"2015-05-20","413","414","413","414","600","414"
"2015-05-21","410","411","410","411","1600","411"
"2015-05-22","412","412","412","412","200","412"
"2015-05-25","412","412","412","412","200","412"
"2015-05-27","415","415","411","411","700","411"
"2015-05-28","414","414","411","413","1100","413"
"2015-06-01","411","411","410","410","900","410"
"2015-06-02","413","413","410","411","1800","411"
"2015-06-03","411","411","410","410","2400","410"
"2015-06-04","410","410","410","410","600","410"
"2015-06-05","410","410","410","410","100","410"
"2015-06-08","407","407","407","407","900","407"
"2015-06-09","406","407","405","405","1000","405"
"2015-06-10","403","403","399","399","4000","399"
